+--------------+------+--------+-------+-----------+
|  series id   | year | period | value | footnotes |
+--------------+------+--------+-------+-----------+
| APU000074714 | 2019 |  M12   | 2.587 |           |
| APU000074714 | 2019 |  M11   | 2.620 |           |
| APU000074714 | 2019 |  M10   | 2.673 |           |
| APU000074714 | 2019 |  M09   | 2.630 |           |
| APU000074714 | 2019 |  M08   | 2.655 |           |
| APU000074714 | 2019 |  M07   | 2.776 |           |
| APU000074714 | 2019 |  M06   | 2.752 |           |
| APU000074714 | 2019 |  M05   | 2.901 |           |
| APU000074714 | 2019 |  M04   | 2.835 |           |
| APU000074714 | 2019 |  M03   | 2.564 |           |
| APU000074714 | 2019 |  M02   | 2.353 |           |
| APU000074714 | 2019 |  M01   | 2.289 |           |
| APU000074714 | 2018 |  M12   | 2.414 |           |
| APU000074714 | 2018 |  M11   | 2.671 |           |
| APU000074714 | 2018 |  M10   | 2.887 |           |
| APU000074714 | 2018 |  M09   | 2.873 |           |
| APU000074714 | 2018 |  M08   | 2.862 |           |
| APU000074714 | 2018 |  M07   | 2.873 |           |
| APU000074714 | 2018 |  M06   | 2.914 |           |
| APU000074714 | 2018 |  M05   | 2.907 |           |
| APU000074714 | 2018 |  M04   | 2.737 |           |
| APU000074714 | 2018 |  M03   | 2.572 |           |
| APU000074714 | 2018 |  M02   | 2.575 |           |
| APU000074714 | 2018 |  M01   | 2.539 |           |
| APU000074714 | 2017 |  M12   | 2.459 |           |
| APU000074714 | 2017 |  M11   | 2.548 |           |
| APU000074714 | 2017 |  M10   | 2.484 |           |
| APU000074714 | 2017 |  M09   | 2.630 |           |
| APU000074714 | 2017 |  M08   | 2.374 |           |
| APU000074714 | 2017 |  M07   | 2.281 |           |
| APU000074714 | 2017 |  M06   | 2.337 |           |
| APU000074714 | 2017 |  M05   | 2.386 |           |
| APU000074714 | 2017 |  M04   | 2.418 |           |
| APU000074714 | 2017 |  M03   | 2.323 |           |
| APU000074714 | 2017 |  M02   | 2.299 |           |
| APU000074714 | 2017 |  M01   | 2.351 |           |
| APU000074714 | 2016 |  M12   | 2.230 |           |
| APU000074714 | 2016 |  M11   | 2.187 |           |
| APU000074714 | 2016 |  M10   | 2.243 |           |
| APU000074714 | 2016 |  M09   | 2.208 |           |
| APU000074714 | 2016 |  M08   | 2.155 |           |
| APU000074714 | 2016 |  M07   | 2.225 |           |
| APU000074714 | 2016 |  M06   | 2.363 |           |
| APU000074714 | 2016 |  M05   | 2.264 |           |
| APU000074714 | 2016 |  M04   | 2.134 |           |
| APU000074714 | 2016 |  M03   | 1.958 |           |
| APU000074714 | 2016 |  M02   | 1.767 |           |
| APU000074714 | 2016 |  M01   | 1.967 |           |
| APU000074714 | 2015 |  M12   | 2.060 |           |
| APU000074714 | 2015 |  M11   | 2.185 |           |
| APU000074714 | 2015 |  M10   | 2.289 |           |
| APU000074714 | 2015 |  M09   | 2.394 |           |
| APU000074714 | 2015 |  M08   | 2.679 |           |
| APU000074714 | 2015 |  M07   | 2.832 |           |
| APU000074714 | 2015 |  M06   | 2.832 |           |
| APU000074714 | 2015 |  M05   | 2.775 |           |
| APU000074714 | 2015 |  M04   | 2.485 |           |
