+--------------+------+--------+-------+-----------+
|  series id   | year | period | value | footnotes |
+--------------+------+--------+-------+-----------+
| APU000074714 | 1985 |  M12   | 1.208 |           |
| APU000074714 | 1985 |  M11   | 1.207 |           |
| APU000074714 | 1985 |  M10   | 1.204 |           |
| APU000074714 | 1985 |  M09   | 1.216 |           |
| APU000074714 | 1985 |  M08   | 1.229 |           |
| APU000074714 | 1985 |  M07   | 1.242 |           |
| APU000074714 | 1985 |  M06   | 1.241 |           |
| APU000074714 | 1985 |  M05   | 1.231 |           |
| APU000074714 | 1985 |  M04   | 1.205 |           |
| APU000074714 | 1985 |  M03   | 1.159 |           |
| APU000074714 | 1985 |  M02   | 1.131 |           |
| APU000074714 | 1985 |  M01   | 1.148 |           |
| APU000074714 | 1984 |  M12   | 1.193 |           |
| APU000074714 | 1984 |  M11   | 1.207 |           |
| APU000074714 | 1984 |  M10   | 1.209 |           |
| APU000074714 | 1984 |  M09   | 1.203 |           |
| APU000074714 | 1984 |  M08   | 1.196 |           |
| APU000074714 | 1984 |  M07   | 1.212 |           |
| APU000074714 | 1984 |  M06   | 1.229 |           |
| APU000074714 | 1984 |  M05   | 1.236 |           |
| APU000074714 | 1984 |  M04   | 1.227 |           |
| APU000074714 | 1984 |  M03   | 1.210 |           |
| APU000074714 | 1984 |  M02   | 1.209 |           |
| APU000074714 | 1984 |  M01   | 1.216 |           |
| APU000074714 | 1983 |  M12   | 1.231 |           |
| APU000074714 | 1983 |  M11   | 1.241 |           |
| APU000074714 | 1983 |  M10   | 1.255 |           |
| APU000074714 | 1983 |  M09   | 1.274 |           |
| APU000074714 | 1983 |  M08   | 1.285 |           |
| APU000074714 | 1983 |  M07   | 1.288 |           |
| APU000074714 | 1983 |  M06   | 1.277 |           |
| APU000074714 | 1983 |  M05   | 1.259 |           |
| APU000074714 | 1983 |  M04   | 1.215 |           |
| APU000074714 | 1983 |  M03   | 1.152 |           |
| APU000074714 | 1983 |  M02   | 1.187 |           |
| APU000074714 | 1983 |  M01   | 1.230 |           |
| APU000074714 | 1982 |  M12   | 1.260 |           |
| APU000074714 | 1982 |  M11   | 1.283 |           |
| APU000074714 | 1982 |  M10   | 1.295 |           |
| APU000074714 | 1982 |  M09   | 1.307 |           |
| APU000074714 | 1982 |  M08   | 1.323 |           |
| APU000074714 | 1982 |  M07   | 1.331 |           |
| APU000074714 | 1982 |  M06   | 1.309 |           |
| APU000074714 | 1982 |  M05   | 1.237 |           |
| APU000074714 | 1982 |  M04   | 1.225 |           |
| APU000074714 | 1982 |  M03   | 1.284 |           |
| APU000074714 | 1982 |  M02   | 1.334 |           |
| APU000074714 | 1982 |  M01   | 1.358 |           |
| APU000074714 | 1981 |  M12   | 1.365 |           |
| APU000074714 | 1981 |  M11   | 1.369 |           |
| APU000074714 | 1981 |  M10   | 1.371 |           |
| APU000074714 | 1981 |  M09   | 1.376 |           |
| APU000074714 | 1981 |  M08   | 1.376 |           |
| APU000074714 | 1981 |  M07   | 1.382 |           |
| APU000074714 | 1981 |  M06   | 1.391 |           |
| APU000074714 | 1981 |  M05   | 1.400 |           |
| APU000074714 | 1981 |  M04   | 1.412 |           |
| APU000074714 | 1981 |  M03   | 1.417 |           |
| APU000074714 | 1981 |  M02   | 1.382 |           |
| APU000074714 | 1981 |  M01   | 1.298 |           |
| APU000074714 | 1980 |  M12   | 1.258 |           |
| APU000074714 | 1980 |  M11   | 1.250 |           |
| APU000074714 | 1980 |  M10   | 1.250 |           |
| APU000074714 | 1980 |  M09   | 1.257 |           |
| APU000074714 | 1980 |  M08   | 1.267 |           |
| APU000074714 | 1980 |  M07   | 1.271 |           |
| APU000074714 | 1980 |  M06   | 1.269 |           |
| APU000074714 | 1980 |  M05   | 1.266 |           |
| APU000074714 | 1980 |  M04   | 1.264 |           |
| APU000074714 | 1980 |  M03   | 1.252 |           |
| APU000074714 | 1980 |  M02   | 1.207 |           |
| APU000074714 | 1980 |  M01   | 1.131 |           |
| APU000074714 | 1979 |  M12   | 1.065 |           |
| APU000074714 | 1979 |  M11   | 1.041 |           |
| APU000074714 | 1979 |  M10   | 1.028 |           |
| APU000074714 | 1979 |  M09   | 1.020 |           |
| APU000074714 | 1979 |  M08   | 0.988 |           |
| APU000074714 | 1979 |  M07   | 0.949 |           |
| APU000074714 | 1979 |  M06   | 0.901 |           |
| APU000074714 | 1979 |  M05   | 0.844 |           |
| APU000074714 | 1979 |  M04   | 0.802 |           |
| APU000074714 | 1979 |  M03   | 0.755 |           |
| APU000074714 | 1979 |  M02   | 0.730 |           |
| APU000074714 | 1979 |  M01   | 0.716 |           |
| APU000074714 | 1978 |  M12   | 0.705 |           |
| APU000074714 | 1978 |  M11   | 0.695 |           |
| APU000074714 | 1978 |  M10   | 0.690 |           |
| APU000074714 | 1978 |  M09   | 0.688 |           |
| APU000074714 | 1978 |  M08   | 0.682 |           |
| APU000074714 | 1978 |  M07   | 0.674 |           |
| APU000074714 | 1978 |  M06   | 0.663 |           |
| APU000074714 | 1978 |  M05   | 0.655 |           |
| APU000074714 | 1978 |  M04   | 0.649 |           |
| APU000074714 | 1978 |  M03   | 0.647 |           |
| APU000074714 | 1978 |  M02   | 0.647 |           |
| APU000074714 | 1978 |  M01   | 0.648 |           |
| APU000074714 | 1977 |  M12   | 0.665 |           |
| APU000074714 | 1977 |  M11   | 0.664 |           |
| APU000074714 | 1977 |  M10   | 0.665 |           |
| APU000074714 | 1977 |  M09   | 0.666 |           |
| APU000074714 | 1977 |  M08   | 0.667 |           |
| APU000074714 | 1977 |  M07   | 0.667 |           |
| APU000074714 | 1977 |  M06   | 0.665 |           |
| APU000074714 | 1977 |  M05   | 0.659 |           |
| APU000074714 | 1977 |  M04   | 0.651 |           |
| APU000074714 | 1977 |  M03   | 0.643 |           |
| APU000074714 | 1977 |  M02   | 0.637 |           |
| APU000074714 | 1977 |  M01   | 0.627 |           |
| APU000074714 | 1976 |  M12   | 0.626 |           |
| APU000074714 | 1976 |  M11   | 0.629 |           |
| APU000074714 | 1976 |  M10   | 0.629 |           |
| APU000074714 | 1976 |  M09   | 0.630 |           |
| APU000074714 | 1976 |  M08   | 0.628 |           |
| APU000074714 | 1976 |  M07   | 0.623 |           |
| APU000074714 | 1976 |  M06   | 0.616 |           |
| APU000074714 | 1976 |  M05   | 0.600 |           |
| APU000074714 | 1976 |  M04   | 0.592 |           |
| APU000074714 | 1976 |  M03   | 0.594 |           |
| APU000074714 | 1976 |  M02   | 0.600 |           |
| APU000074714 | 1976 |  M01   | 0.605 |           |
+--------------+------+--------+-------+-----------+
